Gene	A0106_T	A0113_T	A0135_T	A0136_T	A0156_T	A0167_T	A0169_T	A0179_T	A0180_T	A0181_T	A0184_T	A0187_T	A0188_T	A0200_T	A0204_T	A0205_T	A0209_T	A0214_T	A0234_T	A0241_T	A0265_T	A0273_T	A0282_T	A0287_T	A0312_T	A0313_T	A0353_T	A0373_T	A0375_T	A0378_T	A0383_T	A0394_T	A0395_T	A0411_T	A0421_T	A0504_T	A0526_T	A0568_T	A0605_T	A0614_T	A0629_T	A0673_T	A0680_T	A0695_T	A0715_T	A0738_T	A0740_T	A0743_T	A0760_T	A0794_T	A0804_T	A0811_T	A0825_T	A0847_T	A0927_T	A0933_T	A0934_T	A0978_T	A0982_T	A1020_T	A1063_T	A1126_T	A1156_T	A1159_T	A1170_T	A1177_T	A1183_T	A1184_T	A1191_T	A1195_T	A1197_T	A1210_T	A1211_T	A1217_T	A1220_T	A1223_T	A1230_T	A1232_T	A1245_T	A1253_T	A1270_T	A1287_T	A1301_T	A1303_T	A1314_T	A1319_T	A1320_T	A1336_T	A1346_T	A1347_T	A1358_T	A1359_T	A1360_T	A1369_T	A1380_T	A1381_T	A1403_T	A1423_T	A1430_T	A1434_T	A1444_T	A1459_T	A1461_T	A1462_T	A1463_T	A1479_T	A1485_T	A1511_T	A1532_T	A1538_T	A1543_T	A1545_T	A0118_T	A0121_T	A0128_T	A0132_T
A1BG	3.87147608	0.784880275	2.249513621	5.792714422	15.52458027	10.46954229	9.164081773	5.282375101	8.994943104	1.072964914	1.733560469	1.786230947	16.62666506	0.886474256	3.600814328	5.7311665	2.712452715	10.07909888	4.548419632	7.906384904	5.206117135	3.788573297	4.717885178	9.756212752	1.802408049	2.906771322	9.979311094	7.319989291	1.778464252	21.89208984	1.614463012	6.096106914	6.070543587	11.61378898	16.90957087	5.930407596	9.148236214	7.200652036	24.75237174	23.48245088	8.612730249	1.569123564	4.889344201	2.89077065	5.883716247	9.859884724	12.04272613	7.788315125	2.045548517	0.905590078	3.537192591	9.249139506	11.04177033	4.916024801	0.601076207	2.164249967	1.951413181	9.800995228	5.750994393	6.896874177	3.907562942	4.247927189	0.301282137	3.105766918	4.66855515	2.715486088	4.567091201	5.202854229	8.741189137	14.05326781	16.60452405	7.300705804	8.943812099	1.04011259	2.061752966	1.32450641	1.734206175	12.06925337	2.839249325	1.013613676	5.330094129	8.246615802	5.134782035	7.095322219	7.598744181	17.44255775	9.136709362	1.552936882	5.158210245	4.819313357	2.377100538	4.291311823	4.714158484	9.876987912	6.896823937	2.67809312	6.567407225	1.056722308	1.597890498	6.795670353	1.394171468	5.77541399	2.920430574	3.187638479	1.146353667	1.843089848	1.851445409	2.35887934	7.757853467	1.71260098	2.273589924	3.675736029	3.379114727	1.667151218	2.297234985	7.115067376
A2M	599.2366322	1078.287649	843.8337781	2076.317562	1877.799259	1689.93879	1873.540721	3978.137851	1890.025999	932.5211166	575.2399482	429.0490233	617.8961569	695.9704883	1071.05866	3210.124783	2175.668005	3840.359259	5629.889113	2052.153566	3350.386909	1938.27346	6536.389283	3075.156053	1259.485989	1535.822183	2198.063216	3726.119363	932.2540665	7602.281895	1591.485691	10035.08832	2947.408996	2809.319704	7143.55912	5295.353017	1478.654393	3046.250502	2279.240285	1428.661716	744.4608738	5474.344872	8495.826712	6294.441709	2625.300438	3395.454305	7528.493614	3111.660471	3030.579338	519.2683069	3485.709219	4363.082124	6744.030783	6165.122873	1274.409287	3174.894717	2011.198196	3284.226898	4398.072826	2841.923127	2293.629013	3850.935457	194.5450061	3568.553433	1704.637771	1138.335572	721.5409522	1041.797048	2528.757235	3305.694501	1206.837902	2354.260513	7019.701814	771.8238495	1026.205632	2425.181003	1935.109413	2813.781959	3020.245601	3426.149691	2510.13464	2196.11159	530.8516794	627.9673252	1514.734361	1468.914118	1177.480783	869.0455138	1164.051876	737.0026058	1169.938718	1185.188092	870.8433987	566.517643	764.1842793	1146.49626	1481.803521	676.3902133	2990.048822	3737.744572	1708.017265	8055.109126	1579.56465	1286.035026	3446.700637	1376.498739	1040.856985	2575.365941	3601.227391	1826.70788	1329.468719	1382.05955	1221.848722	1304.541173	3795.912026	1593.245726
A2ML1	2.276200272	0.109424865	1.530755411	4.023029749	0.934804868	3.104230102	0.203562031	0.374782486	3.375334724	1.057696267	4.234189874	2.412248336	0.643895297	0.491463801	4.187047976	2.09099291	4.238844403	1.966745088	0.107569542	2.793293339	2.073760014	0.777786467	0.558871411	8.083710256	0.711972787	0.046782155	2.219958872	3.049840634	0.344369951	0.402349389	0.131992513	1.163819929	3.751623795	0.829782032	0.239945513	0.973282652	4.807720097	5.671527311	2.160050937	1.567683123	2.562375685	2.978684101	0.737971683	0.350451886	1.327165405	2.349787433	1.794835685	2.803249707	0.672538483	0.295330392	1.204371315	3.335104737	1.992578843	2.205509542	0.558664254	1.324051929	1.229641636	2.247472581	1.342402849	2.308665407	0.176732126	2.410043012	0.064620845	4.109429885	3.204412247	6.396733679	0.796923444	3.49681249	1.699494052	3.025439043	1.900320808	2.22319173	0.869702356	2.307243691	2.605462466	2.598881647	0.511071391	3.872758919	4.550656818	8.932437975	1.620468121	2.264386407	2.358162474	2.829510596	1.550321689	2.475985588	1.289417475	1.471662821	1.236472408	0.853192852	0.825724986	0.974363679	2.80084975	2.024847575	3.149918199	1.278727884	2.594941786	2.773157515	2.231302254	2.685010546	0.399210708	2.109175104	3.391175061	2.174320108	3.377756835	5.259760851	2.971448792	0.825110604	1.424030942	0.75013968	5.654949547	3.263403935	0.887991096	0.680848371	3.752673856	1.865213033
A4GALT	30.63623703	25.92985584	15.40386929	39.94662028	26.25862692	28.39184635	33.69446349	22.99295967	34.21196583	14.60020923	8.907978954	22.68844628	23.46794193	13.23556691	14.86592066	28.89048622	19.10598734	19.05159399	17.8431466	39.54668075	36.36528203	13.111416	20.34132826	40.91478535	22.73910324	14.23386239	24.34715216	28.83084924	10.4579374	26.20932364	10.75616899	36.80415001	22.49522866	24.91602568	74.61550693	20.7693855	47.64832519	25.03022072	69.29329599	40.90426976	33.17644332	15.33249211	41.39504719	31.04997881	31.30569702	40.04295831	29.00231642	54.77773515	30.61794429	23.42390372	17.22397446	53.00435501	27.24143277	45.53252921	13.49543974	30.53964793	24.39970195	24.56036796	23.61201407	25.99188825	21.18361541	28.34757049	3.71671704	46.27985058	32.44857113	32.67000715	16.61308744	16.35890568	25.35082439	45.3905953	14.33023419	18.23516898	28.80313086	24.257196	15.87497836	24.30962429	25.14373966	21.59416349	26.22741461	31.46755272	22.88342212	22.98084713	17.50292317	39.16168843	19.37476029	20.79611721	18.81856349	13.80345149	27.26585555	34.29380341	18.56046537	13.70130439	40.53376425	23.08276215	18.163152	8.668441085	11.73648121	16.99120861	15.56526666	19.64943292	20.29593654	25.15905709	37.12430404	37.89915783	22.16551879	21.77767791	22.3258356	14.10146812	25.28243514	21.31987181	30.90433484	18.4568873	14.17154754	14.8716123	14.80031249	53.5225412
AAAS	33.28900326	46.48187317	32.2725224	45.07245481	47.97672555	45.94016334	34.80614271	48.52139859	51.60125761	46.23917658	43.72930766	45.56332562	44.10422117	41.08974011	46.81553444	52.89287	33.40903779	59.90072427	34.44713405	49.23738564	46.60699609	43.97310966	44.14347356	48.03777513	44.05719203	47.86763242	49.48568999	43.92064107	48.0468617	45.88264396	44.71442985	39.56235146	43.12865889	47.93058366	62.5237255	36.64331182	40.10090488	53.01183921	55.63499948	56.31019697	48.06006072	41.48277148	36.30560873	37.61186131	28.19974881	30.76892475	37.91904646	35.8529116	35.1143267	54.71844606	33.92742395	31.10677731	30.30540737	36.54968536	44.61250153	33.97458861	44.85194225	40.36307393	31.36307252	36.83141343	44.93265935	43.54263854	50.60938934	39.59766035	46.3816078	36.47820655	54.18090103	53.16598663	51.64088315	46.83702488	29.67656553	44.80438883	37.60580769	37.08914388	51.0986123	39.24615136	56.25658679	48.94597258	44.94070462	41.09138484	45.88489671	49.94297582	50.10713601	66.70562703	59.98688018	42.29374798	33.01845332	36.28456697	48.11415477	35.81336009	46.96408001	43.29233027	45.84985792	50.71552221	51.09622782	42.78248477	39.17465006	37.62221375	42.35036221	41.61158499	46.03400811	39.6363264	43.72739652	39.86366493	52.42962289	52.27870328	36.14029942	45.61048167	37.67921723	50.07199404	36.66215652	40.57552425	45.14336664	49.48599923	42.68276563	53.51300657
AACS	62.37761261	103.2180959	67.33332809	60.02264443	47.50672763	54.53221551	33.0273044	74.33416954	52.58142913	100.2579303	91.58868436	93.26123282	77.77008761	98.14028323	58.61425762	61.60963457	65.66577671	62.27892057	31.59783288	59.47492544	49.94322824	84.29712971	34.07570815	40.43908655	90.02579815	71.41532692	76.25825408	58.0761833	91.35774502	52.67205772	71.37211986	46.33691994	79.37396607	121.9946073	37.12493161	71.08021184	69.59486984	65.27145764	68.69858456	81.24248675	73.12460201	75.17990111	44.63019562	108.431507	52.43194927	51.92108024	33.98629568	61.59764812	115.0633734	93.63635115	61.11663575	67.33622169	32.34944126	62.23765217	90.0607119	44.84016907	89.34419654	75.01266141	44.88589812	96.14815541	85.09692587	57.61605135	109.2279214	76.75022763	46.74574073	49.21470558	122.7882184	70.48295712	49.87838596	52.56466329	55.30017913	62.47236448	30.15911016	79.67751827	92.95037683	66.82218229	54.7789011	68.97139845	59.64893101	60.48683579	62.29895569	44.02449371	61.82254564	71.22038635	68.59540674	54.07525041	40.80880635	105.8193558	62.40018777	73.58878552	84.52432184	66.8231606	70.51779891	69.99179491	58.95221779	42.41449816	46.34131547	113.2420028	54.34705357	60.79181532	93.49033753	40.69210134	70.61334757	66.07835762	70.46578282	93.08319679	64.29867921	69.37560516	45.6181831	109.1111952	53.55184691	53.56967565	109.7441618	82.60483858	56.04205317	101.9483525
AADACL4	1.061136398	0.270447318	0	0.110889105	0	0.939454464	0.635508075	0.185257561	0.08906323	0.112034259	0	0.473449346	0.293154358	0	0.214846361	0.346455479	0.549784534	0.575630304	1.714808763	0.159316628	0.34169128	0	1.54064721	0	0	0.086717779	0.225481015	0	0	0.937596332	0	1.854534579	0.328544902	0	0	0	0	0.063618948	0.482407245	0	0.607110867	0	0	0	0.207478415	0.124448153	0.523936786	0	0.191792537	0.164231825	0.48269921	0	0.424921147	0	0	0.062931536	0.265921389	0	0	0	0	0	0.053237547	0	0	0.322647904	0	0.192769346	0.589074597	1.016767362	0.213486738	0.215009797	0	0.334500209	0	0	0.437237487	0.141453057	0.521772904	0	0.25746703	0.982028917	0.208152845	0.877636779	0.141913829	0.364254972	1.755251517	0.104921114	0.562185751	0	0.082735447	0.168797197	0.274154316	0.253035527	0.074380234	0	0	0	0	0.853212331	0	0.222351134	0.052823986	0.123066571	0.25212812	0.178894677	0	0	0.206021938	0	0.331020054	0	0.069306333	0.116051046	0	0
AADAT	40.79438707	105.9177132	147.164035	61.89095084	67.44412047	45.24286234	43.19989742	36.80415121	52.65201713	148.3817368	78.61702364	93.36967383	66.25954742	162.4289683	86.01554368	72.26276914	61.15872355	44.30944456	26.2879012	28.79919616	70.78296147	129.2001967	33.11815663	42.65148391	75.61412143	80.92155959	23.13742689	38.07793296	203.3977409	24.71360579	105.3655153	23.07283717	79.08627195	62.98801721	18.12536658	21.7563016	22.24556768	48.87369943	21.78422926	29.36114711	42.40161189	36.0006124	23.13499465	8.776622274	23.35764429	25.08326488	10.24287257	19.43935102	59.70171415	35.5739914	19.20564796	17.23767086	15.3902485	21.64735988	38.39931216	37.34222028	26.84085912	33.92530768	15.54702195	30.73732426	65.52451102	19.34559512	16.8870988	19.74683392	8.809884448	31.80507351	46.95073277	41.89257859	17.72932747	26.0193901	39.09102658	21.05648832	8.196626469	76.10464542	20.0761962	39.46843855	53.96290282	37.66373115	51.1704603	58.31893625	43.87517267	34.78582127	57.44854761	40.43726803	38.70470182	44.15095037	35.02439741	37.0754897	63.39559137	40.75007573	114.2476001	35.13755636	57.46546464	50.8846924	43.13208342	18.23477361	35.33910047	56.32213625	33.0599366	31.37643598	84.56290315	23.20401235	23.37392122	22.41581209	25.19297671	38.66799053	29.60315394	32.85679999	8.892124772	59.95228783	31.65813298	25.40113527	42.15539509	5.384352609	29.7212991	35.65705107
AAGAB	52.08077465	45.14046383	39.44144688	49.53918444	44.3232873	42.06274421	37.77076295	42.11551011	45.25840444	34.68041613	48.11577331	40.30646984	49.65647633	70.38781653	40.11647743	56.58296169	53.41597609	32.40635698	42.78180747	34.28501353	44.53671833	44.94755953	54.62431341	38.38532463	33.63089372	37.23751419	37.0581239	36.93850191	60.66052145	51.35571332	67.60563864	28.28665107	47.64159369	56.16361958	38.99125901	32.44144648	37.56616759	39.10314611	27.317448	49.14172353	33.94278692	57.51744884	35.19529492	47.76103284	46.40372192	42.46793206	37.03022091	40.02673168	35.36061822	49.97063138	41.3197354	49.58868335	29.02677058	30.56359372	47.73073477	55.12223712	28.86250552	40.45509666	38.49680567	49.29066293	46.35612256	40.58225681	28.60890346	40.83817968	37.88537614	117.081619	45.37666595	39.72969394	36.01316491	39.15393658	71.40728575	37.37823622	41.98402896	42.43576942	56.42098576	43.49191731	31.641282	45.76623584	41.00347447	43.90795948	37.92983238	48.77943239	47.37195463	41.19097147	35.02075159	46.5456	57.74678841	64.09096333	61.128521	51.36645607	53.10679089	38.45709723	45.45368642	46.59971487	50.45137594	82.60853172	41.81779041	36.863746	34.42300502	42.7746465	55.88947646	37.81018104	46.11197605	54.41559677	35.46443645	34.85070823	47.11899931	35.62503624	34.94841492	39.37288596	55.39641425	55.6301842	31.78610719	32.9062193	46.04430659	46.18339633
AAK1	29.0403063	44.00033587	55.41098372	38.99109221	48.80788953	46.63621502	38.4793202	31.44063686	33.30804828	98.9113815	35.92716681	46.64682846	36.44030366	45.63028257	53.5706393	62.93543742	26.64722498	35.45778666	30.55782576	25.10586236	30.88065258	52.69445202	32.96528621	34.56573368	46.67806307	53.88011195	29.43778572	24.64782878	46.64274027	27.17565371	43.296111	29.71911181	31.44250329	50.45231884	25.80346667	21.03298541	21.00237469	29.13532957	24.62144734	15.1032312	20.95501541	36.48106151	23.93274808	149.4009262	23.43069048	19.68490575	25.28674003	19.14005074	18.92100007	34.36442303	20.2695511	20.72727977	20.39079429	17.14505188	33.3652338	29.34286087	33.88910423	22.42289219	23.31607404	30.73897446	49.64138788	27.81684968	31.99938435	22.18107301	29.06173292	29.53852316	33.7429622	26.19295985	25.60893654	24.89821791	17.9029914	32.76656351	30.3258299	55.68683785	28.38314761	30.05276269	44.45827761	27.80184682	38.83877613	41.07740828	30.44164117	19.57530008	40.69860479	30.208526	24.63993731	30.86561401	20.5545967	35.26344693	32.32523881	27.89002901	41.55067061	29.36591958	23.94877122	28.30321292	22.25551317	17.15645827	13.43171651	56.06420532	42.86751953	27.96538459	44.33000717	30.10887363	31.58079565	27.81743929	27.5553962	32.34765154	31.45313065	32.2619154	29.64961027	44.64192888	29.90750881	34.3183604	33.50329094	72.72096399	29.5308998	43.50513639
