"","PLA2G2A","DEGS1","GALNT4","FOLH1","PSTPIP2","ALOX15","RAB13","AGR2","MRPL3","YY1","CTDSPL2","RRP15","SLC17A5","KIN","ACSS3","MRPL16","STRBP","KBTBD3","ATP10B","AGA","LRWD1","DIAPH1","LONP2","FBP2","HCCS","UQCR10","FASN","MPHOSPH10","CLDN4","ANAPC4","SLC2A10","ZGPAT","ERGIC1","RHBDD2","EXTL2","PRKD3","MCCC1","ABHD11","PICK1","EPHA6","MMP14","RDH11","NUP88","MRPL44","POLR2E","STEAP4","SLC35B2","CMPK1","CLDN7","FAAH","FABP5","PTCD3","FNDC3A","XRCC1","TMEM50A","MCCC2","RYR2","PIP","SPON2","KDELR1","GDF15","EFNB1","ADIPOQ","CPSF4","NSMCE3","BAIAP2L1","AFTPH","CLPB","ERI3","HPF1","ADPRH","TTC13","SOWAHC","FAM120C","ALCAM","MORF4L1","TAX1BP1","NOL11","S100B","FRY","SMS","PTBP2","SARDH","MB","DPP7","MAL2","RAB27A","HMCN1","ECI2","MINDY3","FASN.1","GNMT","GGCT","EXTL2.1","DENND2B","P3H3","TPRG1L","ABHD11.1","ITGAE","RAB6C","THBS4","SLC43A1","PEX1","SIAE","CRYBG1","RUNDC1","AAAS","GOLGA4","TARBP1","HDGFL3","KLHL25","TUT7","SAP30BP","ACACA","PTPRD","SPAG1","SPTA1","GFAP","TJP3","RPS6KB1","MTREX","ENTPD4","HOXB13","NT5C1A","EIF2D","PLA2G4C","IREB2","ISCU","GTPBP6","NIPBL","FAS","ERBB2","CNOT3","SPEG","CRTAC1","DDX59","CYP1B1","AHCYL2","MAB21L1","BAP1","SPAG9","IL1RL1","SART1","PTPRF","TMPPE","KAT8","RIF1","CDK5RAP3","CPS1","KIF15","Subtype"
"A0018_T",291329.195485285,598611.228093158,52693.9407324177,347177.970203692,39416.8583579368,63629482.5488731,405877.375543644,204014.555786098,84211.2136754813,99754.4251978869,541505.830991693,37039.0590392246,171723.153960736,27347.7489790182,221792.954122227,174974.356252132,84994.9433826637,3738351.10102658,2034487.40271729,206249.825210726,18926.0971455336,93777.9648923692,27521.2603490082,509480.726933831,85994.9135002726,160273.218958611,868260.893571752,32921.0690754852,448254.703955686,98342.9355056471,151218.058016502,2426836.11834592,556558.808869431,219608.100726876,176720.157274523,643014.518823824,237380.28298112,375018.912517137,125199.076743086,962718.204520689,663984.933159526,2056517.65348693,328972.858337837,140267.093203074,313163.516037116,255959.073881159,286743.758887765,621884.048603044,16566.5503661221,170607.89162134,370139.842192559,5674433.44512033,104387.818551302,264278.318844805,1010711.29381028,581625.953007487,4830079.38873034,151959.002551022,441001.322566644,82593.0171346652,592914.465610441,1421656.93501625,1192045.82437315,1503815.46888895,130650.913274751,182158.298494907,84218.760311919,126290.211523359,432636.213993109,191869.570552671,1443054.83293044,1139184.48914547,63710.8955339857,819425.68047367,665126.790449514,201898.331781264,374537.629402529,833955.56696707,54477.336990881,15262.672590209,722945.693242642,1025215.02782755,10196504.5882924,98395.578541993,620127.747929065,917140.334265124,1060303.0982094,16767056.4705447,302791.419151771,270493.884191115,868260.893571752,617737.709817547,916590.582629641,176720.157274523,171877.832816494,2772206.97333194,645317.079017191,375018.912517137,98128.2592204846,1212634.55294297,2950159.89878896,2446349.71135178,1514130.17427669,569752.2094377,1182740.51292841,1286651.06653142,1853097.4162358,558087.535117202,170052.27978485,704749.815040169,3218056.13461753,1257813.48166076,279398.550645141,387643.361578321,35762410.5477472,2622039.27297903,788161.958296761,2829981.76641286,1742778.19651192,7031223.59776442,2448566.1474691,199983.366323021,1161468.31035895,2710708.37270361,170611.319056557,3436842.24612751,1725209.50812618,654326.659864905,28531.4116725434,1345980.14060786,46496.928844102,559066.236498607,802659.900625061,3.69649707514723,50680.8188362315,4850186.83403179,22002199.324089,572831.260401704,26636357.0784725,1215349.08263135,1073789.84097079,1401297.71924957,472272.248329228,291827.360499391,45737.5083806271,20008266.494153,2779898.60372142,569831.500915394,8665241.81721388,2644552.58098789,"Subgroup2"
"A0568_T",215516.604182452,279027.988187456,67379.0881869776,311404.725392111,149189.363511344,430261582.801509,765766.563366966,317172.915395664,100768.248126702,135760.957201669,707538.411051141,13896.8668669525,128699.619485953,17925.3055425897,196496.640979209,168684.007325079,65924.6498215232,8814249.03082363,2068174.45271739,173608.839854019,21069.1332743376,140157.651121851,73624.8321162241,569561.949736444,107173.469280262,150095.009950505,559842.627688484,49250.9001183538,1570459.12545754,5008.38828670269,77537.6494119417,3683814.94401654,587742.960138251,111771.247980985,17197.1382897702,77795.7901547272,218060.525425272,307829.347230339,82028.575053507,944457.338927168,233223.466168459,1204867.27067635,157252.071874285,99008.1502847743,165265.761046134,334948.532845093,218754.770384037,472708.131963097,99775.1551257273,217069.898250067,420919.563527174,396777.48492131,661451.950839455,140731.255045576,294346.669346263,593714.601362069,360540.636398699,354428.75136684,231957.493765649,171671.461667536,813682.259893319,366145.246586264,3600803.13272079,398103.011919814,57843.0606123577,56851.0324102629,104792.306683442,195079.401936803,975653.266440161,77470.9807438734,57072.1773827542,103580.280373885,596247.149935412,79658.9647143016,294855.778277421,119278.745588759,160747.208935821,159239.137698468,250796.946289746,25166.6594577792,365068.240925192,855777.743488861,12260582.3908322,85989.6208206583,677141.421032865,568269.90067407,1454922.46445825,8541357.39234122,282103.025655395,3733491.04037904,559842.627688484,232055.390897479,328771.137094599,17197.1382897702,535610.651952786,330742.322406004,402929.865385363,307829.347230339,90466.397632536,404955.303441402,2488762.74350953,3857804.9484295,3736428.84184606,4635898.64205027,10787202.5963431,1716858.62984027,6869633.31091402,114525.11165637,1684014.87228417,56423494.0837692,53323545.4132337,2172089.22423417,7547702.29877958,1014849.96120095,10571918.8365611,845767.661631871,1512979.73575032,8247979.15654407,4160002.38901695,6489185.14456728,10242870.1960306,33397560.8389287,13392154.8910884,26137502.9022842,1546101.17855888,989777.423691507,7109459.22516528,1665891.22622216,575965.168338434,17461656.9173514,360254.718634971,601076.518893061,15874539.1111908,1930497.1329128,476011.342622946,8009022.79954363,12268544.2984528,2767053.06284342,12764397.1783996,5792985.64174059,5597185.82280933,3077862.9018688,1792986.36062273,1738917.28366292,1529410.37199711,39472883.3423431,2868441.03321349,592299.034909902,83440262.4296144,9374789.11097359,"Subgroup3"
"A0572_T",59792.5104430077,185413.077128595,65134.1112342021,425785.477690829,39211.7492949591,308725273.837756,417698.001245679,286476.962851507,93143.8633399401,183280.642689432,121156.381660485,20939.4075541673,161348.948160029,40071.640569753,243131.916766683,171938.561695532,60719.0213969885,8022099.90779336,888995.356725477,287430.144152022,46062.0529839485,131506.74551053,113311.335178342,187774.137742299,88303.5999484835,119771.571835575,1946926.41116181,44596.9629438763,1046116.06684069,112889.503850588,50757.3491159215,3167957.73403205,504093.194759069,110944.828455444,78057.7723172964,27697.6725560104,355525.449483819,1028650.29347355,39260.1002565011,257329.015629695,389159.837390866,1029657.4595513,217538.529711856,116797.949885039,572425.62226001,514598.619296917,239029.444472727,412833.090570714,42668.2380998,150904.843887125,1136478.94078133,686836.798097298,680856.063960147,125051.841049288,2831497.45193417,3281880.37003428,153024.378153777,340270.097202302,736434.359953721,347229.48617356,472412.552675424,387032.42682658,61522.6806592175,289030.180603725,1634751.89782785,64308.2702851813,980889.474701849,323914.776822244,262753.847034203,108787.563764265,852605.40660358,1083350.53467572,1032534.45642222,785457.21769595,662254.492988717,93063.7739903471,139565.723562599,142436.627520888,15420.4274357127,155147.370439105,836198.797481497,764477.467204288,3556995.41041192,127426.151946006,406427.325790271,592540.864080649,392182.574366557,18174957.3796377,581093.519720405,192401.919399938,1946926.41116181,443788.897057327,597079.425481007,78057.7723172964,658221.38412098,616933.026907088,2947316.86662135,1028650.29347355,220832.7128477,512666.843881328,250557.783847041,1551933.00415506,2093571.20465199,2092957.47120117,2927173.9503606,1345180.01532008,2645527.12795889,129224.632734085,181360.652453527,1411422.55027104,11022323.9485096,922118.112134977,2401892.95383591,526962.003052208,6212948.99212213,18299.37447517,140541.814647424,2534562.72077707,2890667.52567291,513069.80685159,2025049.4572396,22601790.3101801,735246.633138163,11120955.6232971,837706.29329879,611865.409575527,2253849.69622091,860078.315427204,95503.1863282248,2045290.54592649,216528.622748319,410145.773887792,514350.059322607,454965.018256323,221036.273669969,4819354.33954623,5352386.64535283,995096.561034036,30119475.1096977,2774870.30769469,1944079.45849269,376194.797449313,550566.54239939,271455.144524131,863883.137811208,18212410.1775661,834106.613329901,1334461.79175538,4792502.37046231,2846635.69213611,"Subgroup2"
"A0574_T",50071.2319292649,168100.95093886,12046.7965425495,161789.810112971,104310.643835136,543375756.023382,304665.367856984,198865.498274724,39440.5307317291,97896.8444575189,1026210.69230567,17209.5738799663,76971.8682950625,330157.825132594,126374.2444915,194347.784898426,55581.3632825397,12020695.3921303,867561.252725429,175272.428425192,37638.3581993785,99334.8268396906,25814.6982516475,378094.821427723,90921.8365564097,144508.495707272,199481.781796293,36252.5407859104,681712.626003912,73764.6611032385,7693.84195280196,3380525.78109544,277033.445129305,75780.846264966,21709.6493343117,353653.295140621,226369.700223183,230714.741595686,95159.6183730013,533031.39909387,159373.289261315,579533.048895478,213248.985983952,87023.1631359737,178812.615286935,176824.644495327,172673.755271704,563041.243146718,30578.6966575636,119322.397874185,368418.683233629,107726.02794928,348733.97960619,142505.747002918,352252.953465172,212887.083237529,686000.941426195,111921.625178764,29677.1162895709,160518.867828214,239073.447962575,98908.865810178,307802.76777101,206487.871574481,1025300.01637837,98356.8217058239,44703.1812293417,561432.483488804,829555.628374704,78071.7675137227,91888.5565426759,120449.671937098,379967.983964932,117226.950364335,267849.723001928,108966.013231903,42545.6837283324,137334.517118743,22607.827500851,161170.357546539,286348.403847301,249762.755225261,2883959.38605087,247863.317529876,310405.283342901,496722.124978139,209126.140078595,12703268.2753427,276867.549103526,527795.595098493,199481.781796293,221584.843919747,299134.801779638,21709.6493343117,122948.997876058,244812.981855495,109497.626458316,230714.741595686,94319.326871673,375254.974452768,1502039.68787293,26189958.3543164,20377767.6654022,5227337.05396751,9470214.68294488,6470426.79930291,8967614.55483893,135925.305993253,1936836.07879582,54725964.901672,39477885.3626011,6151234.71003009,3267150.00446596,7999243.59081865,77397247.5094886,1119513.58565169,240108.763085054,5726681.90308581,5618427.74348723,8772641.70712163,5358298.6100671,114520753.496955,2288795.46480593,16402816.5117912,182793.141317627,10949217.6649881,4814824.8387544,2071426.45380586,392639.930730168,2370753.30208787,817839.284184201,191485.47238871,252083.531457617,191798.481600255,322874.35309992,9140024.62890458,30901486.2871493,1858639.78237453,115307918.542176,5426783.64918753,1665371.77122772,631068.771602923,867208.352229049,720159.078918545,27982.7792596195,38849907.5669424,10897.2398265787,2712032.8039793,61646185.4514376,7890834.67278715,"Subgroup3"
"A0596_T",391802.312157995,164509.296687082,6570.99661024533,371351.765886571,26635.2392000919,610778325.523368,374427.312312755,1489581.88677994,77890.0956855726,89195.2727015189,1557271.68992467,18097.9109056343,185549.235653478,369206.64302182,207644.859950521,277050.739468383,102414.705356072,10557830.4209805,932095.276759601,287323.261251627,47615.9427212289,78936.2505563241,99989.6980012682,402072.868757702,101576.473388591,130857.55899605,397622.762590748,33583.5617570798,1033156.73726131,161114.000690218,93618.3948865758,5918806.46127099,464739.444416311,105287.141204322,418715.30676086,111983.379807059,282290.738879179,408476.720522854,169871.678471414,1100135.59918673,340931.797215665,1490827.87792207,172718.252201787,91388.4085193173,825988.315202852,310030.640541284,345516.43115096,511366.658340405,346266.514646747,202689.074217659,437358.666128356,150374.703209997,138020.533435286,128978.699737532,220981.932275033,290060.664227399,1061485.49897783,579562.473900164,132815.700295777,137236.295818664,207913.632371436,992097.535264822,111743.020258199,172445.553334887,63844.4605923565,38474.8061648544,31186.9077486463,209624.217565472,269688.890604153,31136.472460921,306054.424645605,159074.787094317,96336.7592026647,103926.347253163,866784.352335539,86965.290552517,42865.6467399503,116516.078813052,21077.997719916,102043.727192398,392802.929681481,257122.613586039,3541340.45236241,128983.913793737,679362.712567681,892222.83419955,460036.19979685,19014230.6628678,317730.54175307,165359.034345661,397622.762590748,36819.0857502305,208468.822576996,418715.30676086,165516.157456948,170396.557609599,307927.77045591,408476.720522854,95234.1279793517,182939.79647628,284853.447100567,21904293.0606973,1846834.56734083,3688302.66587492,263204.983587228,67535.5524086299,6479753.42263146,114408.922892203,724476.086894431,4866139.52360472,32754535.7669064,1798987.3950655,2585787.98614635,3597509.62622283,40904357.043504,2806479.63184375,407713.368312309,4301241.94880967,6147279.09332452,11326619.3295515,1442645.571323,28984289.857023,2214111.1543589,9590856.77265888,1524285.70174762,10224387.2667852,4609994.26957238,1783432.00816799,612771.56167358,2862740.18263748,1593644.24698027,166338.209905217,438198.979290204,440565.801701427,151838.213205375,8153382.17514468,464679.179384325,1703710.88195842,99440593.9118219,4111302.78808613,4153511.72202703,2709172.48174387,1088470.27241194,352410.11671448,2133730.18375404,44021331.3826641,129478.108005096,1360448.96409219,314884.510429202,3828306.27954413,"Subgroup1"
"A0605_T",700372.974988047,405447.94404208,640345.200047161,554819.654938836,59502.9454755344,138838435.582216,520550.321246823,216626.684498145,76208.5801228817,152499.354836714,668755.939081363,26337.0966905885,195712.410036528,26205.0992565963,188683.594666838,188910.484488256,57058.0616542569,3935378.28464358,2101438.72757766,169922.725089912,33495.5267459624,94037.3955865735,16662.9019338318,495260.641201299,90179.1833637824,138458.70578512,647987.373032446,39479.047133223,436703.812795006,92865.2209532042,161948.555630681,3060806.78833187,709748.836417269,148930.292416497,376556.737568243,29369.360432444,274321.489939458,290321.835970746,125294.727527609,322061.559949447,445788.350571239,1872162.36079568,203479.163918614,80906.0295978048,253577.234479092,365957.103556249,246534.68742316,398652.109255372,132920.141935898,348035.277244079,241608.158756031,3244114.36025027,2631971.1120708,179259.996820092,4389030.61199251,1230332.63491533,812697.407661581,55254.8715247766,902158.344358862,545823.136975298,398721.298646502,693162.326264937,3102012.29970665,1621630.26308796,1189275.46437058,124013.905876232,81898.2488380849,105387.773600109,621722.595479392,46122.9898374106,733585.389698495,691528.259676444,168051.64564406,1045630.92608659,518414.574070582,110125.506604081,52241.6375775412,90708.2847218578,478120.572813765,10933.2592801009,538479.677138909,939090.657515993,8197367.61351902,275383.108891885,520356.217349736,612927.287322976,1784881.91568105,9745391.93186941,284397.0612603,196618.460140502,647987.373032446,324121.778322822,638997.971011722,376556.737568243,431920.308612455,791113.688850733,372344.701195629,290321.835970746,105536.477713765,1198161.10798414,869591.232719894,1060628.47809132,1325169.46899847,1802870.69724318,2626356.5652912,1301911.67535143,4652802.67349137,177958.180944255,571569.083353775,23097673.3136752,3340651.1661329,2327410.10144031,910132.403561287,257555.927558083,40898179.8580498,950947.088076849,837561.848184203,4065386.14573965,2136849.76955698,10643139.1073799,2220848.36482377,63286.3630205232,1720085.33764884,8764427.0037331,102648.597163898,9100613.30290118,4224841.69291834,1100363.36307737,100562.670875665,1986304.96728059,188853.378062582,467855.922164126,386621.73179062,1.80411574659838,243509.136034829,6855087.67271186,11638426.7166589,974993.34960969,8752467.52938714,933693.123084388,278600.486733219,1989625.8777651,700770.501644409,378092.801500659,690950.938857874,22440104.4289508,2123123.79007014,200384.684871045,31287792.9299746,6048324.55470736,"Subgroup2"
"A0614_T",128805.32934923,376579.200592702,61775.8899791446,537875.525115052,54068.0702747477,70932231.8937052,395720.331991043,181595.710614333,89053.6002342565,686162.966925534,89820.320434473,17552.3105623748,169465.895713713,25325.6564867773,129539.028875743,137658.722270189,106173.925732248,3203795.53646393,57885.7874750441,133117.099158717,27982.3050939995,132662.763412477,39657.6199277452,570970.907530073,96353.7623876498,129543.37691136,923552.292303124,47126.9363968277,448164.985804301,21265.370329563,107761.935190136,62700.6654080815,680087.186631645,165670.561865658,139088.982275091,39062.4343812939,342751.955228902,370303.017228716,115939.494355149,295718.219218613,997244.666886971,3297892.48875869,235177.308469177,104553.240735866,272752.403049163,428209.609740416,342600.476516214,455903.522274163,251237.795853689,384574.907922401,558085.283254746,8891392.21277028,2821750.09329148,248760.55962339,3292346.00367192,1548127.15562702,282943.331956116,84318.2640265717,1203741.60100847,567164.91625682,977859.516471171,972196.006038454,1205211.34604547,1419007.36783889,24200.8461159387,112203.545769644,105653.49568877,512043.360539267,925483.626174213,281176.871932491,638323.994971984,338481.6008576,150790.411210276,192306.452718268,510355.598288502,126598.564287354,99418.7418288187,114409.173211674,47556.5491471532,430754.047439209,817678.23649346,469726.008376153,10690276.0193591,253684.814204669,557545.873961327,841725.595651308,2060042.49681362,27982858.1998036,397546.884960607,5522972.135449,923552.292303124,327379.703562454,845127.605430552,139088.982275091,699425.513527811,1453300.4133487,1607987.94819153,370303.017228716,152019.135367362,1993728.35115332,450753.992686264,3316248.7597977,2339416.45796655,763622.440799174,1006375.52792869,981702.228935173,3331980.00086967,232765.671400349,589114.498617688,7632852.64818815,525918.276223745,606300.917063897,966701.797279129,571881.797046265,17348922.309257,1712488.33807549,2453817.35528719,4034406.52879269,985356.071730315,4737553.48219461,1625956.35745803,1291618.61394373,1071200.87285978,4105506.42518351,204507.648486385,6410281.44646584,1723322.48106791,2340036.4905263,85589.2105202783,1021926.22677545,47135.295747834,692302.726407692,714005.059216797,460328.387486103,195931.894199833,2339944.83042398,16721732.8684989,674336.376404863,65385048.5374326,727659.167620019,741623.331642653,1365556.40132426,407230.460820161,296537.586075988,13639.8793393997,9640190.31958354,3300107.63713771,711279.26689832,18998990.0112592,3352178.34309533,"Subgroup2"
"A0629_T",88387.3227116113,291286.587323688,58810.1807042596,212390.950492447,151939.033926551,201566708.290364,348825.314240527,453153.641149954,72341.6800662385,88567.3247690849,863024.385673603,13034.160419643,171554.768333591,25832.2939756422,212449.045863433,114911.773733232,99450.0400425281,13655159.4306236,2382307.34298558,1322939.64058431,28119.9399107196,111095.258265189,26382.4267587774,479770.616567805,135386.988866661,95333.239762775,589434.184347342,25444.9797369829,820880.840941838,11080.2104715764,130910.231467036,3496957.47474537,675211.103426659,176937.476318061,77107.3299557799,63646.7419738598,228179.553786284,293977.791800266,756307.356621425,971204.872182465,305260.46051996,2037863.11792308,1671070.02997495,70275.280845943,634622.96477347,166556.782861107,251662.395424376,536583.223487727,230112.279691454,297678.333190738,333680.340249964,163092.837853729,149996.407657207,201695.59229399,394887.858244811,1067519.33227859,51536.2086823532,277139.909641375,339165.797509378,75144.7390271722,568395.360091963,626075.243860905,3456576.4310479,149718.682491057,51966.312410116,116612.15177546,216879.310491416,128281.837689122,211255.585859602,98849.150210054,581155.417593931,192101.025035861,135742.861091063,98573.0304330397,429473.112161038,93079.941053236,87156.1402061134,76171.346254971,417635.758321065,117096.648277981,415270.640360332,1315577.75269824,6037857.79610843,87464.3190642059,503150.739049511,391386.611890811,835312.405344605,25132180.2794063,280744.224990281,703034.989812929,589434.184347342,486365.960974025,608000.55694251,77107.3299557799,387414.927544876,378844.644774084,677049.711059333,293977.791800266,84617.5392869333,294033.916293052,875086.573893601,1186790.82948217,1587892.16545766,2126951.67433371,1544668.98065792,1088759.14838171,898479.913078156,500550.232822637,697631.271600895,2525070.75516596,19690483.7299967,777470.685593448,1517625.99993189,545289.138719199,20567100.1223623,3594040.96808029,541867.821782743,2820125.53511385,3385195.46103311,811490.724107624,1611029.77243497,101882.873527816,2677821.08645949,10646401.770684,56775.6574883808,5250733.99736542,2023321.30273853,548257.806683107,215201.544187556,1839960.39206707,44472.8470777424,434926.328401575,139276.495607723,300472.573740752,165336.302182409,3926999.0727241,7205431.20271566,1276636.97489797,7069823.52659982,2597936.94716534,1563660.42008565,4959675.07463198,434164.646819382,319752.699331089,486007.592757688,20515155.602868,702766.136261388,440515.525293541,12529633.9082379,1451809.7155778,"Subgroup2"
"A0636_T",117045.176333402,173186.189132963,176747.358593775,410597.940937419,115200.792065924,177136256.374197,581792.593987064,500393.449172109,47487.3185075779,89895.7538628961,330766.05099985,15137.6284623652,68583.3124375118,19715.094721446,243796.720036316,69378.4739148577,57196.0239342605,9170281.01324119,1426799.85900296,1226588.66346728,10523.6600061856,166587.476893033,27256.4107579001,387664.561055145,213626.433361345,47714.3654238657,377763.212730868,29810.8567990965,638507.0529916,53983.7404710776,16707.9862408829,2461043.66654595,436699.464660285,79522.315984371,21965.8140692744,216953.89309112,142484.351913964,197424.363104039,97899.241130041,666299.655832538,484858.561399063,855488.331457886,272070.510304285,178866.076812742,180201.401470662,258001.427845051,125781.708079147,444922.745144373,38346.5791753772,85538.8977718686,237010.96064467,109284.657061933,298562.719687209,516539.042121455,602966.780294601,280201.916863141,319945.363813076,196050.264517496,121975.675591243,103181.899423547,113772.559696168,1149090.69330701,57429.885839715,261181.583534841,63659.4194351214,68295.4664361874,33638.0738180406,324944.534042482,214949.513709436,43952.2008571213,386877.675701738,74726.3816943902,490892.171536625,79107.4769204272,311610.976114507,136171.027673181,106502.343809423,71487.0947017936,91106.0776575355,20606.5003868851,311170.180446527,380779.431752902,18035732.9126007,55339.9613525203,305591.632972679,324955.034108208,631663.837202705,5038587.74936403,247281.729244337,111000.181055649,377763.212730868,174838.811770647,276788.083758286,21965.8140692744,134168.841249541,390047.09044297,159577.518991615,197424.363104039,102153.382332072,306850.896196337,149366.016612105,5240275.32511846,6947060.69688545,2947631.54938953,2898609.37994699,5588082.03813021,8262208.42173051,1491959.75353489,610115.731099872,57919526.0426882,38540624.1031696,2468927.31511324,2213728.80022397,706934.968041448,24802272.3969253,2811408.20630649,131371.720746176,4908286.14536442,3690929.98080697,1203250.56001693,4436499.89807992,741217.736080342,2112726.73765026,11884361.9332504,316967.606160354,5449644.53306448,3259988.82482946,602913.729156726,351378.208759447,2151538.67056423,357322.292566552,607622.725322494,61043.1460524809,230639.737744461,221600.652927865,12438328.406537,21740095.6260308,1302376.28075017,17621234.6488322,4826745.47521745,2497560.95324295,1734862.74131186,862485.39088278,588941.555024845,949993.317422137,32210422.7584697,9437.08159932853,601641.461455691,11696496.646115,4197289.47129128,"Subgroup3"
"A0640_T",191866.005231032,152459.234011992,269091.907186534,1456991.505219,33472.2406274053,296494173.601291,367033.766639508,637674.797926488,115643.014650391,205208.072413814,26666.6124910006,76120.6019402491,132011.346651177,41961.3926993801,421073.732959389,871804.869114911,106624.313498878,10793542.3525651,1598151.80561746,832634.178513222,75643.1466610339,260080.600631689,83166.8798537965,987609.459714013,114228.818545058,83038.5195868483,1561267.788066,64685.3646113657,761059.998643571,97669.7527233447,72423.0689657454,3419848.81768954,1410822.14580169,121496.722238715,81372.0761193213,57814.3218371952,675344.954855451,865899.747925129,111507.47979977,1463266.60702023,699758.57033765,4009514.76695678,353914.317575026,192290.965437354,409451.728118471,352656.341037142,368531.577424071,339994.889668779,368114.6508974,474186.386272845,5405259.5922039,1821224.47337867,2208603.91304178,265756.674821198,1054592.69016469,4872596.13027374,1849980.14258853,154708.701528372,281170.810304519,92774.1655180778,4306679.58711245,1606983.28644159,1720788.79975497,223175.718324158,59085.3909209278,140861.643116927,117404.528071586,251127.715043963,285532.115728226,274022.602713543,3782645.51761663,564718.975532071,1341072.09380513,239488.817078842,2184126.04390945,352580.147035996,97156.7534131874,505329.298239479,505405.253836408,867350.857942799,2338716.32168782,1426579.21528904,10923108.4289375,216811.136432248,440924.8931586,3588981.66790335,2098732.04538388,2963248.0020389,557950.142262221,283405.835047845,1561267.788066,1027621.43841281,711991.445062633,81372.0761193213,2266755.84993276,649846.663332055,913914.816200124,865899.747925129,381843.190203805,756821.134116196,161564.84497375,138969.695415688,351589.119651211,516501.536769142,415381.400434425,321590.781330885,265517.295246545,141612.38527007,246563.368669599,2903021.86760898,1446688.12196117,399294.773239042,187629.179750586,245506.437294367,6531525.02888992,50097.7491257658,330993.606279908,1025367.05533813,380096.165624498,502923.187319119,592039.57495479,397767.156333721,320340.797125216,687309.010148844,158295.666388672,29924.5717300558,559661.912807499,390352.480905741,197837.16498796,290350.61333691,118414.246289233,318208.81710769,86851.3269701026,3.69649707514723,96777.3290316067,498750.088517732,3794484.51726678,397932.413471297,1386971.17121926,824906.897672784,414530.448016485,588484.92076946,281130.610427436,419521.490296732,609662.987863083,2782615.50385394,52443.5118148607,262736.629765998,1942242.57700769,458833.235225466,"Subgroup2"
