,GeneName,AUC
1,ALOX15,0.581395349
2,AHCYL2,0.843023256
3,GGCT,0.860465116
4,POLR2E,0.808139535
5,SAP30BP,0.790697674
6,KLHL25,0.877906977
7,DDX59,0.877906977
8,RUNDC1,0.877906977
9,KAT8,0.877906977
10,KBTBD3,0.877906977
11,SLC43A1,0.895348837
12,SART1,0.877906977
13,TUT7,0.912790698
14,FOLH1,0.860465116
15,FASN,0.895348837
16,SPAG9,0.895348837
17,PEX1,0.877906977
18,MB,0.895348837
19,PRKD3,0.860465116
20,AAAS,0.912790698
21,AGR2,0.895348837
22,ZGPAT,0.877906977
23,ITGAE,0.895348837
24,HCCS,0.877906977
25,KIF15,0.877906977
26,GFAP,0.895348837
27,SPAG1,0.895348837
28,ECI2,0.912790698
29,MAL2,0.877906977
30,GALNT4,0.877906977
31,EXTL2.1,0.877906977
32,PTBP2,0.877906977
33,NIPBL,0.843023256
34,PTPRD,0.877906977
35,NT5C1A,0.877906977
36,ALCAM,0.877906977
37,MTREX,0.877906977
38,GTPBP6,0.895348837
39,ANAPC4,0.912790698
40,PLA2G4C,0.895348837
41,GDF15,0.912790698
42,DPP7,0.895348837
43,CTDSPL2,0.825581395
44,THBS4,0.860465116
45,TJP3,0.912790698
46,PLA2G2A,0.825581395
47,BAIAP2L1,0.877906977
48,TMEM50A,0.912790698
49,CRTAC1,0.877906977
50,NSMCE3,0.860465116
