id	GeneName	Group
ALOX15	ALOX15	1
AGR2	AGR2	1
KBTBD3	KBTBD3	1
HCCS	HCCS	1
ANAPC4	ANAPC4	1
ZGPAT	ZGPAT	1
PRKD3	PRKD3	1
GALNT4	GALNT4	1
POLR2E	POLR2E	1
FOLH1	FOLH1	1
ALCAM	ALCAM	2
MB	MB	2
ECI2	ECI2	2
PTBP2	PTBP2	2
MAL2	MAL2	2
ITGAE	ITGAE	2
GGCT	GGCT	2
FASN	FASN	2
EXTL2	EXTL2	2
SLC43A1	SLC43A1	3
PEX1	PEX1	3
RUNDC1	RUNDC1	3
AAAS	AAAS	3
KLHL25	KLHL25	3
TUT7	TUT7	3
SAP30BP	SAP30BP	3
PTPRD	PTPRD	3
SPAG1	SPAG1	3
GFAP	GFAP	3
MTREX	MTREX	3
NT5C1A	NT5C1A	3
GTPBP6	GTPBP6	3
NIPBL	NIPBL	3
DDX59	DDX59	3
AHCYL2	AHCYL2	3
SPAG9	SPAG9	3
SART1	SART1	3
KAT8	KAT8	3
KIF15	KIF15	3


