GOterm	Gene
Donor Synthesis	Hkdc1
Donor Synthesis	Gfpt2
Donor Synthesis	Pgm3
Donor Synthesis	Uap1
Donor Synthesis	Gne
Donor Synthesis	Npl
Donor Synthesis	Nans
Donor Synthesis	Nanp
Donor Synthesis	Cmas
¦Á2,6 Sialylation¨CGalNac	St6galnac1
¦Á2,6 Sialylation¨CGalNac	St6galnac2
¦Á2,6 Sialylation¨CGalNac	St6galnac3
¦Á2,6 Sialylation¨CGalNac	St6galnac4
¦Á2,6 Sialylation¨CGalNac	St6galnac5
¦Á2,6 Sialylation¨CGalNac	St6galnac6
¦Á2,6 Sialylation¨CGal	St6gal1
¦Á2,6 Sialylation¨CGal	St6gal2
¦Á2,8 Sialylation	St8sia1
¦Á2,8 Sialylation	St8sia2
¦Á2,8 Sialylation	St8sia3
¦Á2,8 Sialylation	St8sia4
¦Á2,8 Sialylation	St8sia5
¦Á2,8 Sialylation	St3gal1
¦Á2,8 Sialylation	St3gal2
¦Á2,8 Sialylation	St3gal3
¦Á2,8 Sialylation	St3gal4
¦Á2,8 Sialylation	St3gal5
¦Á2,8 Sialylation	St3gal6
Sialylation All	Hkdc1
Sialylation All	Gfpt2
Sialylation All	Pgm3
Sialylation All	Uap1
Sialylation All	Gne
Sialylation All	Npl
Sialylation All	Nans
Sialylation All	Nanp
Sialylation All	Cmas
Sialylation All	St6galnac1
Sialylation All	St6galnac2
Sialylation All	St6galnac3
Sialylation All	St6galnac4
Sialylation All	St6galnac5
Sialylation All	St6galnac6
Sialylation All	St6gal1
Sialylation All	St6gal2
Sialylation All	St8sia1
Sialylation All	St8sia2
Sialylation All	St8sia3
Sialylation All	St8sia4
Sialylation All	St8sia5
Sialylation All	St3gal1
Sialylation All	St3gal2
Sialylation All	St3gal3
Sialylation All	St3gal4
Sialylation All	St3gal5
Sialylation All	St3gal6
